,image_path,Real/Fake
11287,dataimageyoutubeyoutube_066_8.png,0
11288,dataimageyoutubeyoutube_943_23.png,0
11289,dataimageyoutubeyoutube_602_61.png,0
11290,dataimageyoutubeyoutube_344_47.png,0
11291,dataimageyoutubeyoutube_948_51.png,0
11292,dataimageyoutubeyoutube_137_37.png,0
11293,dataimageyoutubeyoutube_197_58.png,0
11294,dataimageyoutubeyoutube_224_24.png,0
11295,dataimageyoutubeyoutube_476_10.png,0
11296,dataimageyoutubeyoutube_924_84.png,0
11297,dataimageyoutubeyoutube_423_300.png,0
11298,dataimageyoutubeyoutube_778_19.png,0
11299,dataimageyoutubeyoutube_399_94.png,0
11300,dataimageyoutubeyoutube_296_38.png,0
11301,dataimageyoutubeyoutube_333_42.png,0
11302,dataimageyoutubeyoutube_922_16.png,0
11303,dataimageyoutubeyoutube_736_16.png,0
11304,dataimageyoutubeyoutube_316_19.png,0
11305,dataimageyoutubeyoutube_714_95.png,0
11306,dataimageyoutubeyoutube_212_60.png,0
11307,dataimageyoutubeyoutube_103_12.png,0
11308,dataimageyoutubeyoutube_052_38.png,0
11309,dataimageyoutubeyoutube_563_1.png,0
11310,dataimageyoutubeyoutube_748_0.png,0
11311,dataimageyoutubeyoutube_161_8.png,0
11312,dataimageyoutubeyoutube_772_14.png,0
11313,dataimageyoutubeyoutube_260_58.png,0
11314,dataimageyoutubeyoutube_018_64.png,0
11315,dataimageyoutubeyoutube_516_42.png,0
11316,dataimageyoutubeyoutube_439_13.png,0
11317,dataimageyoutubeyoutube_777_34.png,0
11318,dataimageyoutubeyoutube_182_68.png,0
11319,dataimageyoutubeyoutube_367_58.png,0
11320,dataimageyoutubeyoutube_550_35.png,0
11321,dataimageyoutubeyoutube_618_68.png,0
11322,dataimageyoutubeyoutube_205_58.png,0
11323,dataimageyoutubeyoutube_258_28.png,0
11324,dataimageyoutubeyoutube_675_21.png,0
11325,dataimageyoutubeyoutube_790_33.png,0
11326,dataimageyoutubeyoutube_670_82.png,0
11327,dataimageyoutubeyoutube_445_199.png,0
11328,dataimageyoutubeyoutube_727_53.png,0
11329,dataimageyoutubeyoutube_848_26.png,0
11330,dataimageyoutubeyoutube_944_26.png,0
11331,dataimageyoutubeyoutube_909_42.png,0
