,image_path,mask_path,edge_path,Real/Fake
0,data/CASIA2.0_revised/Au/Au_pla_30544.jpg,,,0
1,data/CASIA2.0_revised/Au/Au_nat_30463.jpg,,,0
2,data/CASIA2.0_revised/Au/Au_pla_30162.jpg,,,0
3,data/CASIA2.0_revised/Au/Au_ind_20064.jpg,,,0
4,data/CASIA2.0_revised/Au/Au_ind_00028.jpg,,,0
5,data/CASIA2.0_revised/Au/Au_arc_20069.jpg,,,0
6,data/CASIA2.0_revised/Au/Au_art_10006.jpg,,,0
7,data/CASIA2.0_revised/Au/Au_ani_20039.jpg,,,0
8,data/CASIA2.0_revised/Au/Au_arc_30693.jpg,,,0
9,data/CASIA2.0_revised/Au/Au_pla_30215.jpg,,,0
10,data/CASIA2.0_revised/Au/Au_sec_30140.jpg,,,0
11,data/CASIA2.0_revised/Au/Au_art_30305.jpg,,,0
12,data/CASIA2.0_revised/Au/Au_sec_30517.jpg,,,0
13,data/CASIA2.0_revised/Au/Au_ani_10195.jpg,,,0
14,data/CASIA2.0_revised/Au/Au_sec_30641.jpg,,,0
15,data/CASIA2.0_revised/Au/Au_cha_30010.jpg,,,0
16,data/CASIA2.0_revised/Au/Au_pla_30089.jpg,,,0
17,data/CASIA2.0_revised/Au/Au_arc_30018.jpg,,,0
18,data/CASIA2.0_revised/Au/Au_arc_30222.jpg,,,0
19,data/CASIA2.0_revised/Au/Au_txt_10105.jpg,,,0
20,data/CASIA2.0_revised/Au/Au_sec_30369.jpg,,,0
21,data/CASIA2.0_revised/Au/Au_ani_30641.jpg,,,0
22,data/CASIA2.0_revised/Au/Au_sec_00077.jpg,,,0
23,data/CASIA2.0_revised/Au/Au_cha_30261.jpg,,,0
24,data/CASIA2.0_revised/Au/Au_txt_00080.jpg,,,0
25,data/CASIA2.0_revised/Au/Au_cha_00095.jpg,,,0
26,data/CASIA2.0_revised/Au/Au_txt_30010.jpg,,,0
27,data/CASIA2.0_revised/Au/Au_sec_30634.jpg,,,0
28,data/CASIA2.0_revised/Au/Au_ani_30508.jpg,,,0
29,data/CASIA2.0_revised/Au/Au_ani_30245.jpg,,,0
30,data/CASIA2.0_revised/Au/Au_ani_30663.jpg,,,0
31,data/CASIA2.0_revised/Au/Au_arc_00001.jpg,,,0
32,data/CASIA2.0_revised/Au/Au_nat_30551.jpg,,,0
33,data/CASIA2.0_revised/Au/Au_art_30339.jpg,,,0
34,data/CASIA2.0_revised/Au/Au_nat_30109.jpg,,,0
35,data/CASIA2.0_revised/Au/Au_ani_10224.jpg,,,0
36,data/CASIA2.0_revised/Au/Au_nat_00026.jpg,,,0
37,data/CASIA2.0_revised/Au/Au_arc_30035.jpg,,,0
38,data/CASIA2.0_revised/Au/Au_nat_30544.jpg,,,0
39,data/CASIA2.0_revised/Au/Au_nat_00086.jpg,,,0
